# Location database data run 2014 Oct 7
# =====================================================================================================================
# On tethys:
#
# \f |
# \a
# select l.*,n.easting,n.northing from location_data l left outer join naptan n on l.crs=n.crscode order by location;
# =====================================================================================================================
id|location|crs|nlc|tiploc|stanox|station|delay_monitor_point|data|notes|easting|northing
10609|Staines Down Goods Loop||567064|STAIDGL|87115|f|f|f|||
10610|Staines High Street||567016|STAINHS||f|f|f|||
10611|Staines Points 707|||STAI707||f|f|f|||
10612|Staines Sidings Entrance And Exit||567004|STAINSE|87088|f|f|f|||
10613|Staines Signal F476||567010|STAI476||f|f|f|||
10614|Staines Signal F478||567002|STAI478|87118|f|f|f|||
10615|Staines Station Bus Stop||567065|STAINSS|87114|f|f|f|||
10616|Staines Up Loop|XFZ|567015|STAINUL|87116|f|f|f|||
10617|Staines West|||STSW||f|f|f|||
10618|Staines West Oil Sidings|||STSWOIL||f|f|f|||
10619|Stairfoot||||24383|f|f|f|||
9742|St Albans Abbey|SAA|156200|STALBNA|71030|t|f|f||514526|206414
9743|St Albans Centre Sidings|SCC|154803|STALBCS|63202|t|f|f|||
9744|St Albans City|SAC|154800|STALBCY|63201|t|t|t||515549|207076
9745|St Albans Napsbury||154804|STALNAP|63205|f|f|f|||
10620|Stallingborough|SLL|628700|SBROUGH|21027|t|f|f||520330|411590
10621|Stalybridge|SYB|298300|SBYD|32111|t|f|f||395934|398653
10622|Stalybridge Atochem Siding||298311|SBYDAS|32113|f|f|f|||
10623|Stalybridge Shunt Signal SE11||298305|SBYDS11|32112|f|f|f|||
10624|Stamford|SMD|614000|STAMFD|45008|t|f|f||502900|306600
10625|Stamford Brook LT|ZSF|071300|||t|f|f|||
10626|Stamford Hill|SMH|696800|STMFDHL|51961|t|f|f||533380|187930
10627|Stamford Uffington Signal Box||614001|STAMUFF|45010|f|f|f|||
10628|Standish Junction|SDJ|477412|STNDSHJ|68137|t|f|f|||
9746|St Andrews||918861|SANW||f|f|f|||
9747|St Andrews Bus|SAO|399500|SANWBUS||t|f|f|||
9748|St Andrews Junction [Bristol]||325211|SADWJN|81232|f|f|f|||
9749|St Andrews Junction Signal SY92||451306|STAJN92|66331|f|f|f|||
9750|St Andrews Junction [West Midlands]|XON|451303|STADJN|66323|f|f|f|||
9751|St Andrews Road|SAR|325200|SADWRD|81230|t|f|f||351776|179546
9752|St Andrews Road Signal Box||325212|SADWSB|81232|f|f|f|||
10629|Stanford-le-Hope|SFO|745800|SLEHOPE|51023|t|f|f||568227|182276
10630|Stanhope|SNP|783900|SHPE|15816|t|f|f||399888|538705
10631|Stanley||880200|STNY|3110|f|f|f|||
10639|Stanlow Liquified Petroleum Gas Sidings||215908|STNLLPG|38371|f|f|f|||
10640|Stanlow North|||STNLNTH||f|f|f|||
10641|Stanlow Shell Arrival Sidings||215901|STNLSAS|38373|f|f|f|||
10642|Stanlow Shell Departure Sidings||215902|STNLSDS|38373|f|f|f|||
10643|Stanlow Shell Sidings GFES|||STNLSES||f|f|f|||
10644|Stanlow Shell Sidings Ground Frame|||STNLSGF||f|f|f|||
10632|Stanlow & Thornton|SNT|215900|STNLWAT|38372|t|f|f||343950|376040
10633|Stanlow & Thornton BP Oil||||38374|f|f|f|||
10634|Stanlow & Thornton Ground Frame|||STNLWGF||f|f|f|||
10635|Stanlow & Thornton Shell Chemicals||||38375|f|f|f|||
10636|Stanlow & Thornton Shell Sidings||212113|STNLWSS|38373|f|f|f|||
10637|Stanlow & Thornton Shellstar Signal Box|||STNLSSB||f|f|f|||
10638|Stanlow & Thornton Signal ST40||215907|STNL40|38376|f|f|f|||
10645|Stanmore LT|ZSM|071400|||t|f|f|||
9753|St Annes-on-the-Sea|SAS|267200|STAS|30036|t|f|f||332241|429010
10646|Stansfield Hall||255001|STNSFLH|29003|f|f|f|||
10647|Stansted||683300|STANSTD|47342|f|f|f|||
10648|Stansted Airport|SSD|683400|STANAIR|47344|t|f|f||555683|223530
10649|Stansted Airport Bus Stop|XTH|980300|STANBUS||f|f|f|||
10651|Stansted Airport Signal L1201||683405|STAN201||f|f|f|||
10650|Stansted Airport Signal L366|||STAN366||f|f|f|||
10652|Stansted Coopers Lane Junction||683370|STANCLJ||f|f|f|||
10653|Stansted Down Goods Loop||683365|STANDGL|47343|f|f|f|||
10654|Stansted East Junction||683366|STANEJN|47346|f|f|f|||
10655|Stansted Mountfitchet|SST|683300|STANSTD|47342|t|f|f||551440|224830
10656|Stansted North Junction||683367|STANNJN|47339|f|f|f|||
10657|Stansted Oil Siding||683364|STANSOS|47341|f|f|f|||
10658|Stansted South Junction||683368|STANSJN|47345|f|f|f|||
10659|Stanton Gate Freightliner Heavy Haul||176407|STNTFHH|56558|f|f|f|||
10660|Stanton Gate PLC||176412|STNTPLC|56557|f|f|f|||
10661|Stanton Gate Sidings||176404|STNTNGU|56562|f|f|f|||
10662|Stapleford & Sandiacre||176500|STAPLFD|56571|f|f|f|||
10663|Stapleford & Sandiacre Chief Civil Engineernulls Siding||176514|STAPLCE|56573|f|f|f|||
10664|Stapleford & Sandiacre T W Ward||176512|STAPBB|56572|f|f|f|||
10665|Staplehurst|SPU|522800|SPHS|89326|t|f|f||578392|144450
10666|Stapleton Road|SRD|325000|STPLTNR|81403|t|f|f||360765|174434
10667|Stapleton Road Narroways Hill Junction||325001|STPLNAR|81401|f|f|f|||
10668|Starbeck|SBE|822100|STARBCK|16109|t|f|f||432800|456000
10669|Starcross|SCS|341300|STRCROS|83602|t|f|f||297700|81900
10670|Star Lane DLR|ZCJ|088900|||t|f|f|||
9754|St Austell|SAU|353400|STAUSTL|85303|t|f|f||201611|52565
9755|St Austell Civil Engineernulls Sidings||353401|STAUSCE|85302|f|f|f|||
9756|St Austell Eden Project|XFJ|353403|STAUEDE||f|f|f|||
10671|Staveley|SVL|197700|STAVELY|11003|t|f|f||346905|498090
10672|Staverton Bridge||355869|STVRTBG||f|f|f|||
10673|Staythorpe||||55512|f|f|f|||
10674|Staythorpe Crossing||635301|STYTHPX|55511|f|f|f|||
9757|St Bees|SBS|200200|STBEES|10199|t|f|f||297035|511965
9758|St Blazey Carriage Holding Sidings|XSB||STBLZCS||f|f|f|||
9759|St Blazey ECC Pontsmill||353514|ST BZPM(raw data includes space)|85223|f|f|f|||
9760|St Blazey English Welsh & Scottish Railway Carriage & Wagon||||85221|f|f|f|||
9761|St Blazey Henry Orchard & Sons||353504|STBLHOS|85217|f|f|f|||
9762|St Blazey Loco Holding Sidings|||STBLZHS||f|f|f|||
9763|St Blazey Loco Inspection Point|SBL|353566|STBLTMD|85222|t|f|f|||
9764|St Blazey Signal Box|SBZ|353500|STBLAZY|85218|t|f|f|||
9765|St Blazey Sorting Sidings||353558|STBLZYY|85220|f|f|f|||
9766|St Blazey Wagon Repair Depot|||STBLWRD||f|f|f|||
9767|St Blazey Yard||||85219|f|f|f|||
9768|St Blazey Yard Advenza Freight||353505|STBLAFL|85216|f|f|f|||
9769|St Budeaux Ernesettle Sidings MOD||359211|STBDERN|84206|f|f|f|||
9770|St Budeaux Ferry Road|SBF|359000|STBDXFR|84295|t|f|f||244685|58010
9771|St Budeaux Junction|STB|359059|STBDXJN|84293|t|f|f|||
9772|St Budeaux Victoria Road|SBV|359200|STBDXVR|84204|t|f|f||244645|58080
9773|St Columb Road|SCR|353600|STCLMBR|85244|t|f|f||191100|59600
9774|St Davids (Dyfed) New Street|SDD|038600|||t|f|f|||
9775|St Dennis Junction||350266|SDNSJN||f|f|f|||
9776|St Denys|SDN|591400|STDENYS|86499|t|f|f||443130|113815
9777|St Denys Signal E704||591401|STDE704|86501|f|f|f|||
9778|St Denys Signal E706||591402|STDE706|86499|f|f|f|||
9779|St Denys Signal E904||591403|STDE904|86500|f|f|f|||
10675|Stechford|SCF|104300|STECHFD|65611|t|f|f||412930|287450
10676|Steeton & Silsden|SON|846900|STEETON|17009|t|f|f||403730|444875
10677|Stenson Junction|SOJ|168905|STSNJN|57458|t|f|f|||
10678|Stenson Junction Signal BC37|||STSBC37||f|f|f|||
10679|Stenton Ground Shunt Panel||939764|STENTON|4825|f|f|f|||
10680|Stepney Green LT|ZSG|071500|||t|f|f|||
10681|Stepps|SPS|984200|STEPPS|6503|t|f|f||266210|668380
9780|St Erth|SER|353700|STERTH|85721|t|f|f||154150|35730
9781|St Erth Civil Engineernulls Sidings||353701|STERTCE|85722|f|f|f|||
10682|Stevenage|SVG|609200|STEVNGE|53223|t|t|t||523448|224090
10683|Stevenage Bowaters Packaging||609311|||f|f|f|||
10684|Stevenage Langley SG CLSD11/70||609300|||f|f|f|||
10685|Stevenage Redland||609312|||f|f|f|||
10686|Stevenage Signal K214||609205|STEV214|53222|f|f|f|||
10687|Stevenage Whittlesford Bus Link|||STEVWIT||f|f|f|||
10688|Stevenston|STV|955300|STVNSTN|8123|t|f|f||226940|641290
10689|Stevenston Down Goods Loop||955364|STVNDGL|8124|f|f|f|||
10690|Stevenston East Sidings||955365|STVNSES|8123|f|f|f|||
10691|Stevenston Freight Terminal Residual||955361|||f|f|f|||
10692|Stevenston Freight Terminal Shunting||955360|||f|f|f|||
10693|Stevenston Nobel Siding (Ardeer)||955311|STVNNBS|8122|f|f|f|||
10694|Stevenston NPS||955312|STVNNPS|8121|f|f|f|||
10695|Stevenston Rolling Stock Wagons||955363|||f|f|f|||
10696|Stevenston Signal Operating||955362|||f|f|f|||
10697|Steventon|SVN|303055|STVTN|74324|t|f|f|||
10698|Stevning||531500|||f|f|f|||
10699|Stewartby|SWR|138600|STWRTBY|62043|t|f|f||501496|242222
10700|Stewartby Forders LDC English Welsh & Scottish Railway||138601|STWRLDC||f|f|f|||
10701|Stewarton|STT|955400|STEWRTN|8703|t|f|f||241780|646060
10702|Stewarts Lane||537100|STWT|87238|f|f|f|||
10703|Stewarts Lane Berthing Siding||537101|STWTBS|87237|f|f|f|||
10704|Stewarts Lane Civil Engineernulls Sidings||||87234|f|f|f|||
10706|Stewarts Lane Days||537102|STWTDAY|87235|f|f|f|||
10705|Stewarts Lane Depot Up Loop||537103|STWTUPL||f|f|f|||
10707|Stewarts Lane Junction|SLN|537162|STWTJN|87234|t|f|f|||
10708|Stewarts Lane Marcon R M C||537114|STWTLAM|87236|f|f|f|||
10709|Stewarts Lane Traction & Rolling Stock Maintenance Depot|XSL|537170|STWTTMD|87238|f|f|f|||
10710|Stewarts Lane [unknown features]||||88990|f|f|f|||
9782|St Fagans Level Crossing||384950|STFALX|78601|f|f|f|||
9783|St Germans|SGM|358600|STGRMNS|84397|t|f|f||236020|57480
9784|St Helens Central|SNH|234100|STHLNSC|35405|t|f|f||351600|395400
9785|St Helens Civil Engineernulls Sidings||||35400|f|f|f|||
9786|St Helens Junction|SHJ|234000|STHLNSJ|35449|t|f|f||353574|393222
9787|St Helens Pilkington Glass||||35413|f|f|f|||
9788|St Helens Rockware Glass||||35402|f|f|f|||
9789|St Helens Shaw Street Up and Down Goods Loop|||STHLUDG||f|f|f|||
9790|St Helier [Jersey]|JSY|597100|SHLJRSY||t|f|f|||
9791|St Helier [London]|SIH|529000|SHLIER|87335|t|f|t||525425|167190
10711|Stillingon||795600|||f|f|f|||
10712|Stillingon Clarks||795615|||f|f|f|||
10713|Stillingon Estates Ltd||795616|||f|f|f|||
10714|Stirling|STG|988800|STIRLNG|3401|t|f|f||279757|693585
10715|Stirling Carriage Stabling & Servicing Residual||988866|||f|f|f|||
10716|Stirling Causewayhead Junction||988885|STIRCHJ|3395|f|f|f|||
10717|Stirling East||988400|||f|f|f|||
10718|Stirling Freight Terminal Shunting||988862|||f|f|f|||
10719|Stirling Freight Terminal Shunting TOPS||988872|||f|f|f|||
10720|Stirling Local Area Administration||988865|||f|f|f|||
10721|Stirling Middle||988880|STIRLNM|3402|f|f|f|||
10739|Stirling MOD (Army) PS||988612|||f|f|f|||
10722|Stirling Motor Rail Terminal||988891|||f|f|f|||
10723|Stirling North||988881|STIRLNN|3403|f|f|f|||
10724|Stirling Parcels Depot Residual||988863|||f|f|f|||
10725|Stirling Passenger Terminal Shunting||988861|||f|f|f|||
10726|Stirling Plean Caberboard||988613|STIRP|5001|f|f|f|||
10727|Stirling Rolling Stock Carriages||988870|||f|f|f|||
10728|Stirling Rolling Stock Traction||988868|||f|f|f|||
10729|Stirling S & D Lines||988878|STIRLSD|3404|f|f|f|||
10730|Stirling Sidings||988801|STIRSDG|3402|f|f|f|||
10731|Stirling Signalling & Telecommunications Maintenance||988871|||f|f|f|||
10732|Stirling Signal Operating||988864|||f|f|f|||
10733|Stirling Train Crews Footplate||988867|||f|f|f|||
10734|Stirling Train Crews Guards Passenger||988860|||f|f|f|||
10735|Stirling Train Crews Other Train Staff||988869|||f|f|f|||
10736|Stirling West||988600|||f|f|f|||
10737|Stirling West Cape Insulation Ltd||988611|||f|f|f|||
10738|Stirling West Harrisons Lime Polmaise||988614|||f|f|f|||
10740|Stirling West Permanent Way Maintenance Gangs||988664|||f|f|f|||
10741|Stirling West Permanent Way Maintenance Inspectors||988660|||f|f|f|||
10742|Stirling West Permanent Way Utility Gang||988665|||f|f|f|||
10743|Stirling West Scottish Timber Products PS||988613|||f|f|f|||
10744|Stirling West Signal Operating||988662|||f|f|f|||
10745|Stirling West Subsidiary Yard||988615|||f|f|f|||
10746|Stirling West Train Crews Guards Freight||988663|||f|f|f|||
10747|Stirling West Train Crews Guards Passenger||988661|||f|f|f|||
9792|St Ives|SIV|353800|STIVES|85711|t|f|f||152030|40080
9795|St Jamesnulls Park LT|ZSS|069500|||t|f|f|||
9793|St James Old Station|||STJAMES||f|f|f|||
9794|St James Park|SJP|575100|STJAMSP|83435|t|f|f||292682|93498
9796|St James Street|SJS|697300|STJMSST|52734|t|f|f||536393|188735
9797|St James Tyne & Wear Metro(See also Newcastle St James Tyne & Wear Metro)|SJN|884400|SNTJ|12725|t|f|f|||
9798|St Johns|SAJ|505900|STJOHNS|88411|t|f|f||537435|176345
9799|St Johns Wood LT|ZSJ|096900|||t|f|f|||
9800|St Keyne|SKN|357200|STKEYNE|84416|t|f|f||225102|61032
9801|St Leonards Controlled Emission Toilet Point||521267|STLNCET|88276|f|f|f|||
9802|St Leonards Railway Engineering GB Railfreight||521203|STLNGBR|88280|f|f|f|||
9803|St Leonards Railway Engineering Ltd|XSM|521201|STLNDEM|88282|f|f|f|||
9804|St Leonards Shunt Board||521213|STLNSHB|88281|f|t|t|||
9805|St Leonards Shunt Neck||521214|STLNSHN|88292|f|f|f|||
9806|St Leonards Signal BJ42||521204|STLN42|88277|f|f|f|||
9807|St Leonards Signal BJ64||521202|STLN64|88277|f|f|f|||
9808|St Leonards Warrior Square|SLQ|523900|STLNRWS|88283|t|f|f||580300|109365
9809|St Leonards West Marina||521200|STLNRWM|88281|f|t|t|||
9810|St Leonards West Marina Carriage Servicing Depot|XSE|521212|STLNWCS|88281|f|t|t|||
9811|St Leonards West Marina Traction Maintenance Depot||521264|STLNWMD|88281|f|t|t|||
9813|St Margarets [Hertfordshire]|SMT|682100|SMARGRT|51711|t|f|f||538131|211803
9812|St Margarets [London]|SMG|560400|STMGTS|87133|t|f|f||516810|174255
9814|St Mary Cray|SMY|507300|STMRYC|88493|t|f|t||546640|168295
9815|St Mary Cray Junction|XMU|507360|STMRYCJ|88485|f|f|t|||
9816|St Marys||352686|STMARYS||f|f|f|||
9817|St Marys Airport||352687|STMAAPT||f|f|f|||
9818|St Michaels|STM|224800|STMCHLS|36084|t|f|f||336710|386950
9819|St Neots|SNO|611000|STNEOTS|45402|t|f|t||519790|260710
9820|St Neots Cross Keys||611007|STNVXKY||f|f|f|||
9821|St Neots Freight Depot English Welsh & Scottish Railway||611001|STNEOFD|45401|f|f|f|||
9822|St Neots Signal P21||611008|STNE21|45403|f|f|f|||
9823|St Neots South Signal P309||611005|STNE309|45401|f|f|f|||
9824|St Neots Square by Bus||611006|STNVSQ||f|f|f|||
9825|St Neots Tesco|XEI|611003|STNVBUS||f|f|f|||
9826|St Neots Up Siding||611009|STNEUSD|45404|f|f|f|||
9827|St Nicholas (Carlisle) Civil Engineernulls Sidings||211700|STNICE|9177|f|f|f|||
10748|Stoats Nest Junction|XJS|543060|SNSTJN|87901|f|t|t|||
10749|Stoats Nest North Ground Frame||543061|SNSTGF|87899|f|f|f|||
10750|Stockbridge||587100|||f|f|f|||
10751|Stockingford||116100|||f|f|f|||
10752|Stockley Bridge Junction||317415|STKYBJN|73796|f|f|f|||
10753|Stockport|SPT|277100|STKP|32534|t|f|f||389260|389870
10754|Stockport Adswood Road Bridge||277169|||f|f|f|||
10755|Stockport Carriage Maintenance Depot||277162|STKPCS|32531|f|f|f|||
10756|Stockport Cheadle Village Junction||277105|STKPCVJ|32533|f|f|f|||
10757|Stockport Edgeley Junction No 1||277102|STKPE1|32537|f|f|f|||
10758|Stockport Edgeley Junction No 2||277103|STKPE2|32536|f|f|f|||
10759|Stockport Viaduct||277110|STKPVIA|32532|f|f|f|||
10760|Stocksfield|SKS|751300|STCKSFL|13321|t|f|f||405430|561380
10761|Stocksmoor|SSM|845100|STKSMR|18494|t|f|f||418415|410870
10762|Stockton|STK|797500|STOCTON|15223|t|f|f||444156|519591
10763|Stockton Cut Junction||797516|STOCCJN|15229|f|f|f|||
10764|Stockton Signal 907||797505|STOC907|15226|f|f|f|||
10765|Stockton T J Thomson||796118|STOCTMS|15224|f|f|f|||
10766|Stockton T J Thomson Advenza Railfreight||796119|STOCTAD|15222|f|f|f|||
10767|Stockwell LT|ZSL|071600|||t|f|f|||
10768|Stogumber||346900|STOGMBR||f|f|f|||
10769|Stoke Canon Level Crossing||341666|STCALC|83116|f|f|f|||
10772|Stoke Cliffe Vale|CVL|131411|STOKCV|43215|t|f|f|||
10770|Stoke Cockshute Holding Sidings||||43201|f|f|f|||
10771|Stoke Cockshute Sidings||131403|STOKCS|43220|f|f|f|||
10773|Stoke Endon||128703|STOKEND|43417|f|f|f|||
10774|Stoke Gifford Down Reception||323057|STKGDRC|81111|f|f|f|||
10775|Stoke Gifford English Welsh & Scottish Railway Carriage & Wagon||||81114|f|f|f|||
10776|Stoke Gifford Freightliner Heavy Haul||323005|STKGFHH|81110|f|f|f|||
10777|Stoke Gifford Light Maintenance Depot||323063|STKGLMD|81113|f|f|f|||
10778|Stoke Gifford Sidings|SGS|323059|STKGSDG|81111|t|f|f|||
10779|Stoke Gifford Signal B143|||STKG143||f|f|f|||
10780|Stoke Gifford Signal B589||323056|STKG589|81117|f|f|f|||
10781|Stoke Gifford Tip||323572|STKGTIP|81112|f|f|f|||
10782|Stoke Gifford Traction Maintenance Depot|||STKGTMD||f|f|f|||
10783|Stoke Gifford Up Reception|||STKGURS||f|f|f|||
10784|Stoke Gifford Wagon Maintenance Depot||323064|STKGWMD|81115|f|f|f|||
10785|Stoke Hanley Bus Station|HNY|985700|STOKHAN||t|f|f|||
10787|Stoke Junction [Grantham]||646921|SOKEJN|44999|f|f|f|||
10788|Stoke Little Bytham||606000|SOKELBY|45000|f|f|f|||
10789|Stoke Mandeville|SKM|146700|STKM|70358|t|f|f||483965|210603
10790|Stoke Marcroft Engineering||131414|STOKMAR|43231|f|f|f|||
10791|Stoke Milton||131409|STOKMIL|43415|f|f|f|||
10792|Stoke Newcastle Junction||131410|STOKNEW|43212|f|f|f|||
10793|Stoke Newington|SKW|693400|STKNWNG|51963|t|f|f||533670|186910
10794|Stoke North West Yard|||STOKNWY|43205|f|f|f|||
10795|Stoke Oakamoor||128704|STOKOAK|43424|f|f|f|||
10796|Stoke Oakamoor British Industrial Sand||||43425|f|f|f|||
10797|Stoke-On-Trent|SOT|131400|STOKEOT|43211|t|f|f||387953|345645
10786|Stoke [-On-Trent] Junction|SKJ|131405|STOKOTJ|43222|t|f|f|||
10798|Stoke-On-Trent Loco Holding Sidings|||STOKLHS|43209|f|f|f|||
10799|Stoke-On-Trent North||131406|STOKOTN|43210|f|f|f|||
10800|Stoke-On-Trent Turner Rail||131401|STOKTNR|43232|f|f|f|||
10801|Stoke Sideway Loop||131413|STOKSID|43302|f|f|f|||
10802|Stoke Signal 271||131417|STOK271|43216|f|f|f|||
10803|Stoke Signal 439||131423|STOK439|43217|f|f|f|||
10804|Stoke Signal 462||131416|STOK462|43218|f|f|f|||
10805|Stoke Signal 527||131427|STOK527|43219|f|f|f|||
10806|Stoke Signal 534||131415|STOK534|43213|f|f|f|||
10807|Stoke Signal 540||131418|STOK540|43214|f|f|f|||
10809|Stoke Viaduct Sidings||131407|STOKVS|43225|f|f|f|||
10808|Stoke Works Junction|SWJ|471513|STKWKSJ|67008|t|f|f|||
10810|Stone|SNE|131600|STONE|43308|t|f|f||389670|334555
10812|Stonea||716501|STNA|46214|f|f|f|||
10811|Stone Ashton||131603|STONASH|43309|f|f|f|||
10813|Stonebridge Park|SBP|145400|STNBGPK|72031|t|f|f||519660|184210
10814|Stonebridge Park Civil Engineernulls Sidings|||STNBCE|72098|f|f|f|||
10815|Stonebridge Park Depot|SPD|071762|STNBPKD|72032|t|f|f|||
10816|Stonebridge Park Signal WS34||145401|STNBS34|72034|f|f|f|||
10817|Stonebridge Park Wagon Repair Depot|||STNBHRD||f|f|f|||
10818|Stone Civil Engineernulls Sidings||||43307|f|f|f|||
10819|Stone Crossing|SCG|524800|STCR|88697|t|f|f||557394|174913
10820|Stone Crossing-Horns Cross||524810|STCRHCR||f|f|f|||
10821|Stone Crown Street|XIS|985901|STONECS||f|f|f|||
10822|Stonegate|SOG|524000|SNGT|89393|t|f|f||565892|127169
10823|Stone Granville Square|SGQ|925400|STONEGS||t|f|f|||
10824|Stonehaven|STN|896400|SHVN|2113|t|f|f||386400|786200
10825|Stonehaven South||896461|SHVNS|2114|f|f|f|||
10826|Stonehenge Bus|SHG|565300|||t|f|f|||
10827|Stonehouse|SHU|477000|STNHSE|68159|t|f|f||380800|205280
10828|Stonehouse Post Office||477001|STNHPO||f|f|f|||
10829|Stone Junction||131601|STONJN|43307|f|f|f|||
10830|Stoneleigh|SNL|560600|STLEIGH|87303|t|f|f||522024|164159
10831|Stone Sandon||131604|STONSAN|43310|f|f|f|||
10833|Stormstown Junction||380161|STOMJN|78207|f|f|f|||
10832|Stormstown Loop||380162|STOMSTN|78206|f|f|f|||
10834|Stormy||380959|STORMY|79787|f|f|f|||
10835|Stormy Down Goods Loop||380956|STORDGL|79786|f|f|f|||
10836|Stormy Up Goods Loop||380957|STORUGL|79788|f|f|f|||
10837|Stornoway|SOY|905600|STWY||t|f|f|||
10838|Stourbridge Junction|SBJ|464600|STRBDGJ|65933|t|f|f||391000|283300
10839|Stourbridge Junction Carriage Sidings||464601|STRBCS|65931|f|f|f|||
10840|Stourbridge Junction Goods Loop|XSF|464668|STRBJGL|65930|f|f|f|||
10841|Stourbridge Junction Light Maintenance Depot||464603|STRBDEP|65920|f|f|f|||
10842|Stourbridge Junction Light Maintenance Depot Headshunt||464604|STRBHDS|65921|f|f|f|||
10843|Stourbridge Junction Town Platform|SBJ|464605|STRBDG1|65932|t|f|f||391000|283300
10844|Stourbridge Town|SBT|464300|STRBDGT|65939|t|f|f||390460|284190
10845|Stourton BSC||857711|STRTNBS|17183|f|f|f|||
10846|Stourton D & F Steels||857712|STRTDFS|17181|f|f|f|||
10847|Stourton Down Siding||857717|STRTNDS|1718017182|f|f|f|||
10848|Stourton Down Siding Freightliner Heavy Haul||857718|STRTFHH|17186|f|f|f|||
10849|Stourton Freightliner Terminal Carriage & Wagon RFS Engineering||857700|STRTRFS|17185|f|f|f|||
10850|Stourton Junction||857713|STRTJN|17182|f|f|f|||
10851|Stourton Junction Reverse||857701|STRTJRV|17177|f|f|f|||
10852|Stourton Neck Signal S912||857710|STRT912|17176|f|f|f|||
10853|Stowmarket|SMK|735500|STWMRKT|49014|t|f|f||605160|258850
10854|Stowmarket Down Goods Loop||735561|STWMDGL|49012|f|f|f|||
10855|Stowmarket ICI||||49013|f|f|f|||
10856|Stowmarket SXO||||49015|f|f|f|||
9829|St Pancras Aptis||925400|||f|f|f|||
9830|St Pancras Camley Street Junction||155507|STPXCSJ|63622|f|f|f|||
9831|St Pancras Churchyard Sidings|XYR|155501|STPXCYS|63626|f|f|f|||
9832|St Pancras Churchyard Sidings Tarmac||155505|STPXTMC|63625|f|f|f|||
9828|St Pancras [domestic station]|STP|155500|STPX|63630|t|t|t||530000|183160
9828|St Pancras [domestic station]|STP|155500|STPX|63630|t|t|t||530050|183175
9833|St Pancras Fastic||198100|||f|f|f|||
9834|St Pancras First Capital Connect|SPC|142700|||t|f|f|||
9835|St Pancras International|SPX|154000|STPANCI|63631|t|t|t|||
9836|St Pancras [low level station]|SPL|993300|STPXBOX|63629|t|t|t||529990|183135
9837|St Pancras Maintenance Siding||154001|STPAMCS|63619|f|f|f|||
9838|St Pancras Maintenance Siding Connection||154009|STPAMSC|63627|f|f|f|||
9839|St Pancras Regents Canal Junction||154006|STPARCJ||f|f|f|||
9840|St Pancras Sportis||348100|||f|f|f|||
9841|St Pancras Up Slow Line Holding Sidings|||STPXUSL||f|f|f|||
9842|St Pauls LT|ZSP|069700|||t|f|f|||
9843|St Peter Port [Guernsey]|GUS|597200|STPETRP||t|f|f|||
9844|St Petersformerly Sunderland Monkseaton|STZ|763200|SNDRMNK|14023|t|f|f||439603|557588
9845|St Philips Marsh||322900|STPHLPM|81524|f|f|f|||
9846|St Philips Marsh Depot Freightliner Heavy Haul||322966|STPHFHH|81522|f|f|f|||
9847|St Philips Marsh Diesel Multiple Unit Depot||322967|STPHDMU|81524|f|f|f|||
9848|St Philips Marsh Fuelling||322965|STPHFUL|81523|f|f|f|||
9849|St Philips Marsh HST Depot|XPM|322962|STPHHST|81524|f|f|f|||
9850|St Pierre Des Corps||874102|STPIDC||f|f|f|||
9851|St Pinnock Viaduct East||350159|STPNCVE|84435|f|f|f|||
9852|St Polten||087403|STPOLTN|133|f|f|f|||
10857|Stranraer|STR|955500|STRNRR|8653|t|f|f||206200|561400
10858|Stranraer Carriage Servicing Depot|XST||STRNTCS||f|f|f|||
10859|Stranraer Harbour|SRE|955700|STRNRHR|8653|t|f|f|||
10860|Stranraer Stockton Haulage||955611|STRNTSH|8649|f|f|f|||
10861|Stranraer Town Freight Depot||955600|STRNRTN|8651|f|f|f|||
10862|Stranraer West Pier|SWP|955000|STRNWPR||t|f|f|||
10863|Stranraer Yard Ground Frame||955669|STRNYGF|8650|f|f|f|||
10864|Strasbourg|SXB|873200|||t|f|f|||
10865|Strasbourg Hausbergen||873201|STRAHAU|767|f|f|f|||
10867|Stratford||||52233|f|f|f|||
10866|Stratford|SRA|696900|STFD|52226|t|f|f||538557|184444
10868|Stratford Bus|STB|366500|||t|f|f|||
10869|Stratford Central Junction||696901|STFDCJ|52226|f|f|f|||
10870|Stratford Country End Junction||696999|STFDCEJ|52226|f|f|f|||
10871|Stratford DLR|ZSF|086300|||t|f|f|||
10872|Stratford Freightliner Terminal|SFT|694400|STFDFLT|52220|t|f|f|||
10873|Stratford Ground Signal L82||693615|STFDS82||f|f|f|||
10874|Stratford High Street DLR|ZST|074900|||t|f|f|||
10875|Stratford International|SDI|154100|STFORDI|52215|t|t|t|||
10876|Stratford International DLR|ZAW|050400|||t|f|f|||
10877|Stratford International Domestic Platforms|SFA|722200|STFODOM|52215|t|t|t||538175|184760
10878|Stratford International East Junction|XXQ|154102|STFOEJN|52213|f|t|t|||
10879|Stratford International West Junction|XXR|154101|STFOWJN|52217|f|t|t|||
10880|Stratford Jerich||692203|STRATJE||f|f|f|||
10881|Stratford Lifts 10 & 11 Sheds||692204|STRCGOT||f|f|f|||
10882|Stratford London End Junction||696925|STFDLJN||f|f|f|||
10883|Stratford London International Freight Terminal||692200|STFDLFT|52215|f|t|t|||
10884|Stratford Low Level|SFW|696000|STFDLL|52236|t|f|f|||
